Datetime,Open,High,Low,Close,Volume
2021-11-22T00:00:00,654.95,663.5,645.05,657.0,3944981
2021-11-23T00:00:00,657.1,689.7,657.1,683.3,9033812
2021-11-24T00:00:00,683.3,696.0,670.0,683.25,4374307
2021-11-25T00:00:00,683.25,687.8,674.2,680.9,2850008
2021-11-26T00:00:00,668.25,672.55,624.25,628.65,8921840
2021-11-29T00:00:00,631.7,637.8,618.1,625.6,4230776
2021-11-30T00:00:00,621.5,632.6,604.3,608.4,6606473
2021-12-01T00:00:00,614.95,639.8,614.0,637.2,6580138
2021-12-02T00:00:00,638.0,648.75,630.8,646.75,4017457
2021-12-03T00:00:00,637.0,654.85,637.0,644.55,4885753
2021-12-06T00:00:00,644.7,661.0,636.75,642.85,13699768
2021-12-07T00:00:00,648.95,663.65,647.15,660.65,12896360
2021-12-08T00:00:00,665.55,676.0,660.15,672.95,9676621
2021-12-09T00:00:00,676.0,678.35,661.05,674.1,9692290
2021-12-10T00:00:00,670.0,681.45,670.0,679.55,2430834
2021-12-13T00:00:00,682.0,692.95,667.6,670.55,4149735
2021-12-14T00:00:00,665.55,676.0,661.25,670.3,2942047
2021-12-15T00:00:00,670.3,677.65,656.6,658.5,4724542
2021-12-16T00:00:00,665.0,666.2,653.5,662.15,2474595
2021-12-17T00:00:00,662.15,665.0,653.05,660.25,3003978
2021-12-20T00:00:00,650.1,656.0,630.5,642.6,4070706
2021-12-21T00:00:00,647.0,666.0,645.4,658.3,3127861
2021-12-22T00:00:00,663.15,666.15,657.65,661.0,1273217
2021-12-23T00:00:00,665.8,670.9,647.2,650.25,2971327
2021-12-24T00:00:00,652.05,655.45,639.3,651.3,3973912
2021-12-27T00:00:00,648.0,654.8,643.15,653.05,1838919
2021-12-28T00:00:00,655.05,661.4,652.45,657.35,2232852
2021-12-29T00:00:00,655.1,657.2,644.95,655.9,3014867
2021-12-30T00:00:00,656.0,659.4,643.55,645.8,3713255
2021-12-31T00:00:00,647.8,665.0,647.3,655.95,2499623
2022-01-03T00:00:00,655.95,671.0,654.7,667.05,2383218
2022-01-04T00:00:00,670.0,673.9,663.4,670.4,1999008
2022-01-05T00:00:00,668.1,697.0,666.35,694.5,6342812
2022-01-06T00:00:00,692.0,692.5,672.2,673.95,4714784
2022-01-07T00:00:00,676.0,679.0,667.5,672.85,2862614
2022-01-10T00:00:00,677.9,679.5,670.0,672.1,1841965
2022-01-11T00:00:00,664.0,668.55,643.25,645.7,6912370
2022-01-12T00:00:00,652.0,659.2,649.0,657.05,5343630
2022-01-13T00:00:00,659.0,691.55,657.25,687.85,7202966
2022-01-14T00:00:00,679.9,689.55,677.25,682.7,2054419
2022-01-17T00:00:00,682.0,704.85,675.4,699.4,5920282
2022-01-18T00:00:00,703.35,704.55,677.55,680.2,3450193
2022-01-19T00:00:00,681.0,689.25,660.0,674.65,4889920
2022-01-20T00:00:00,679.0,686.0,672.4,682.5,2862609
2022-01-21T00:00:00,678.9,680.0,662.15,666.25,3836844
2022-01-24T00:00:00,656.5,657.0,618.0,621.8,7296421
2022-01-25T00:00:00,620.0,640.6,612.6,631.15,5007835
2022-01-27T00:00:00,619.0,632.15,612.05,626.1,4760551
2022-01-28T00:00:00,631.0,645.9,625.55,628.05,3719102
2022-01-31T00:00:00,636.0,639.0,628.0,628.95,2892647
2022-02-01T00:00:00,633.95,658.85,628.0,654.3,5150345
2022-02-02T00:00:00,660.0,663.8,652.2,659.85,2562721
2022-02-03T00:00:00,657.0,667.4,650.0,653.15,2456228
2022-02-04T00:00:00,647.0,665.9,647.0,657.35,3284062
2022-02-07T00:00:00,659.4,666.65,645.6,651.15,2768417
